id,name,code,active,section_id,section_name,parent_section_id,parent_section_name
4380,Serv-EjDir.Otros.UNVA,serv_ejdir_otros_gamma,Y,223,Ejecucion,221,006 Dpto_Servicio
4530,Serv-EjDir.VerificaciónElectrónica.UNAU,serv_ejdir_verificaci_nelectr_nica_unau,Y,223,Ejecucion,221,006 Dpto_Servicio
4566,Proy-Equipos.Automatizacion,proy_equipos_autom,N,217,Dpto_Proyectos (No Usar),215,NoElegir
4570,Proy-Ingenieria,proy_ingenieria,N,217,Dpto_Proyectos (No Usar),215,NoElegir
4574,Proy-Equipos.MaterialesElectricos,proy_equipos_materialeselectricos,N,217,Dpto_Proyectos (No Usar),215,NoElegir
4578,Proy-Equipos.MaterialesMecanicos,proy_equipos_materialesmecanicos,N,217,Dpto_Proyectos (No Usar),215,NoElegir
4582,Endress+Hauser-Flujo,endress_hauser_flujo,Y,207,001 UN AU,,
4586,Endress+Hauser-Nivel,endress_hauser_nivel,Y,207,001 UN AU,,
4590,Endress+Hauser-Analisis,endress_hauser_analisis,Y,207,001 UN AU,,
4594,Endress+Hauser-Presion,endress_hauser_presion,Y,207,001 UN AU,,
4598,Endress+Hauser-Temperatura,endress_hauser_temperatura,Y,207,001 UN AU,,
4602,Endress+Hauser-Sistemas,endress_hauser_sistemas,Y,207,001 UN AU,,
4606,Endress+Hauser-BUS,endress_hauser_bus,Y,207,001 UN AU,,
4610,Scantech,scantech,Y,207,001 UN AU,,
4614,DataloggerRTU.General,ijinus,Y,209,002 UN AI,,
4618,FAST,fast,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
4622,Sommer Messtechnik,sommer_messtechnik,Y,209,002 UN AI,,
4626,PreTratamiento.Duperon,duperon,Y,209,002 UN AI,,
4630,Ovarro,ovarro,Y,312,Otras Marcas UNAI No Repres,209,002 UN AI
4636,Serv-EjDir.Mntto.Otros,serv_ejdir_mntto_otros,Y,223,Ejecucion,221,006 Dpto_Servicio
4906,Equip.UNVA.AccesFabLocal,equip_unva_accesfablocal,Y,211,003 UN VA,,
6648,Proy.PIC.Consultoria.Electrico,proy_pic_ingenieria_electrico,Y,304,004 Proy PIC,,
6650,Proy.PIC.Consultoria.Gestion,proy_pic_ingenieria_gestion,Y,304,004 Proy PIC,,
6652,Proy.PIC.Consultoria.Mecanico,proy_pic_ingenieria_mecanico,Y,304,004 Proy PIC,,
6654,Proy.PIC.Consultoria.Civil,proy_pic_ingenieria_civil,Y,304,004 Proy PIC,,
6656,Proy.PIC.Consultoria.Instrumentacion,proy_pic_ingenieria_instrumentacion,Y,304,004 Proy PIC,,
6658,Proy.PIC.Consultoria.Calidad,proy_pic_ingenieria_calidad,Y,304,004 Proy PIC,,
